store_code,business_date,sales_amount_tax_ex,customer_count
"006","2026/06/01",472400,245
"006","2026/06/02",561400,300
"006","2026/06/03",561200,313
"006","2026/06/04",449400,255
"006","2026/06/05",521200,286
"006","2026/06/06",777600,415
"006","2026/06/07",797800,411
"006","2026/06/08",432000,237
"006","2026/06/09",532400,301
"006","2026/06/10",574800,314
"006","2026/06/11",559100,317
"006","2026/06/12",596900,323
"006","2026/06/13",694400,386
"006","2026/06/14",627400,340
"006","2026/06/15",501400,269
"006","2026/06/16",533800,276
"006","2026/06/17",523100,287
"006","2026/06/18",500100,272
"006","2026/06/19",496200,269
"006","2026/06/20",689800,374
"006","2026/06/21",721900,381
"006","2026/06/22",523300,290
"006","2026/06/23",501700,267
"006","2026/06/24",438100,239
"006","2026/06/25",460400,259
"006","2026/06/26",514600,268
"006","2026/06/27",564700,301
"006","2026/06/28",734700,402
"006","2026/06/29",462500,241
"006","2026/06/30",590200,312

